"X","antibiotic","sign","value","phenotype","measurement","organism","platform","standard","database","id","organism_name","sign_value","mic_value","old_phenotype"
84174,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_9","","CLSI","BV BRC","SRR3982099","Escherichia coli",">64",128,"R"
84220,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_40","","CLSI","BV BRC","GCA_004567115.1","Escherichia coli","==16",16,"R"
84364,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_88","","CLSI","BV BRC","GCA_004566475.1","Escherichia coli","==16",16,"R"
84448,"aztreonam","==","16","R","mg/L","Escherichia coli strain M33","VITEK 2","CLSI","BV BRC","SRR3345831","Escherichia coli","==16",16,"R"
84553,"aztreonam",">=","64","R","mg/L","Escherichia coli strain M48","VITEK 2","CLSI","BV BRC","SRR3588895","Escherichia coli",">=64",64,"R"
84567,"aztreonam","<","2","S","mg/L","Escherichia coli strain MUGSI_276","","CLSI","BV BRC","SRR3982317","Escherichia coli","<2",1,"S"
84591,"aztreonam",">","64","R","mg/L","Escherichia coli strain AR437","","CLSI","BV BRC","GCA_003073815.1","Escherichia coli",">64",128,"R"
84614,"aztreonam","<=","1","S","mg/L","Escherichia coli strain ENV463","","eucast","BV BRC","ERR2580166","Escherichia coli","<=1",1,"S"
84782,"aztreonam",">","64","R","mg/L","Escherichia coli strain AR_0162","","CLSI","BV BRC","GCA_002180135.1","Escherichia coli",">64",128,"R"
84804,"aztreonam","==","16","R","mg/L","Escherichia coli strain M12","VITEK 2","CLSI","BV BRC","SRR2544770","Escherichia coli","==16",16,"R"
84897,"aztreonam","==","32","R","mg/L","Escherichia coli strain AR_0086","","CLSI","BV BRC","GCA_003571665.1","Escherichia coli","==32",32,"R"
84916,"aztreonam","==","4","S","mg/L","Escherichia coli strain M22","VITEK 2","CLSI","BV BRC","SRR2927304","Escherichia coli","==4",4,"S"
84970,"aztreonam","==","16","R","mg/L","Escherichia coli strain M24","VITEK 2","CLSI","BV BRC","SRR2927305","Escherichia coli","==16",16,"R"
84982,"aztreonam",">=","64","R","mg/L","Escherichia coli strain URMC_48","","CLSI","BV BRC","GCA_004567075.1","Escherichia coli",">=64",64,"R"
85223,"aztreonam",">","64","R","mg/L","Escherichia coli strain AR_0137","","CLSI","BV BRC","GCA_002201835.1","Escherichia coli",">64",128,"R"
85228,"aztreonam",">=","64","R","mg/L","Escherichia coli strain M23","VITEK 2","CLSI","BV BRC","SRR3057126","Escherichia coli",">=64",64,"R"
85313,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_60","","CLSI","BV BRC","SRR3996249","Escherichia coli",">64",128,"R"
85370,"aztreonam","<","2","S","mg/L","Escherichia coli strain MUGSI_210","","CLSI","BV BRC","SRR4069212","Escherichia coli","<2",1,"S"
85551,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_82","","CLSI","BV BRC","GCA_004567405.1","Escherichia coli","==16",16,"R"
85596,"aztreonam",">=","64","R","mg/L","Escherichia coli strain URMC_21","","CLSI","BV BRC","GCA_004567275.1","Escherichia coli",">=64",64,"R"
85641,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_43","","CLSI","BV BRC","GCA_004567605.1","Escherichia coli","==16",16,"R"
85682,"aztreonam","==","16","R","mg/L","Escherichia coli strain M45","VITEK 2","CLSI","BV BRC","SRR3618620","Escherichia coli","==16",16,"R"
85721,"aztreonam","<=","1","S","mg/L","Escherichia coli strain M40","VITEK 2","CLSI","BV BRC","SRR3618632","Escherichia coli","<=1",1,"S"
85769,"aztreonam","==","4","S","mg/L","Escherichia coli strain M51","VITEK 2","CLSI","BV BRC","SRR3588897","Escherichia coli","==4",4,"S"
85878,"aztreonam",">","64","R","mg/L","Escherichia coli strain AR_0061","","CLSI","BV BRC","GCA_002056065.1","Escherichia coli",">64",128,"R"
85954,"aztreonam","<=","1","S","mg/L","Escherichia coli strain ENV317","","eucast","BV BRC","ERR2580162","Escherichia coli","<=1",1,"S"
85972,"aztreonam","==","2","S","mg/L","Escherichia coli strain URMC_67","","CLSI","BV BRC","GCA_004566785.1","Escherichia coli","==2",2,"S"
86000,"aztreonam",">","64","R","mg/L","Escherichia coli strain AR_0001","","CLSI","BV BRC","GCF_001874785.1","Escherichia coli",">64",128,"R"
86118,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_18","","CLSI","BV BRC","GCA_000773435.1","Escherichia coli","==16",16,"R"
86161,"aztreonam","==","32","R","mg/L","Escherichia coli strain AR436","","CLSI","BV BRC","GCA_003073875.1","Escherichia coli","==32",32,"R"
86240,"aztreonam",">=","64","R","mg/L","Escherichia coli strain URMC_111","","CLSI","BV BRC","GCA_004568895.1","Escherichia coli",">=64",64,"R"
86321,"aztreonam",">","64","R","mg/L","Escherichia coli strain AR_0450","","CLSI","BV BRC","GCA_003324445.1","Escherichia coli",">64",128,"R"
86449,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_13","","CLSI","BV BRC","GCA_004569925.1","Escherichia coli","==16",16,"R"
86451,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_174","","CLSI","BV BRC","SRR4065675","Escherichia coli",">64",128,"R"
86462,"aztreonam","<=","1","S","mg/L","Escherichia coli strain PB486","VITEK 2","EUCAST","BV BRC","GCF_900093145.1","Escherichia coli","<=1",1,"S"
86472,"aztreonam",">=","16","R","mg/L","Escherichia coli strain MUGSI_278","","CLSI","BV BRC","SRR3982375","Escherichia coli",">=16",16,"R"
86478,"aztreonam",">=","64","R","mg/L","Escherichia coli strain M19","VITEK 2","CLSI","BV BRC","SRR2544777","Escherichia coli",">=64",64,"R"
86584,"aztreonam","==","16","R","mg/L","Escherichia coli strain M6","VITEK 2","CLSI","BV BRC","SRR2449142","Escherichia coli","==16",16,"R"
86652,"aztreonam",">=","64","R","mg/L","Escherichia coli strain URMC_46","","CLSI","BV BRC","GCA_004567595.1","Escherichia coli",">=64",64,"R"
86830,"aztreonam","==","32","R","mg/L","Escherichia coli strain AR_0055","","CLSI","BV BRC","GCA_002202175.1","Escherichia coli","==32",32,"R"
86835,"aztreonam","==","16","R","mg/L","Escherichia coli strain M26","VITEK 2","CLSI","BV BRC","SRR2927307","Escherichia coli","==16",16,"R"
86836,"aztreonam","==","32","R","mg/L","Escherichia coli SMG008U","","EUCAST","BV BRC","GCA_022758785.1","Escherichia coli","==32",32,"R"
86907,"aztreonam","<=","1","S","mg/L","Escherichia coli strain ENV76","","eucast","BV BRC","ERR2580152","Escherichia coli","<=1",1,"S"
86913,"aztreonam","==","16","R","mg/L","Escherichia coli strain M38","VITEK 2","CLSI","BV BRC","SRR3345826","Escherichia coli","==16",16,"R"
86959,"aztreonam",">=","64","R","mg/L","Escherichia coli strain M13","VITEK 2","CLSI","BV BRC","SRR2544771","Escherichia coli",">=64",64,"R"
87040,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_9","","CLSI","BV BRC","GCA_004566405.1","Escherichia coli","==16",16,"R"
87113,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_147","","CLSI","BV BRC","SRR4035119","Escherichia coli",">64",128,"R"
87116,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_112","","CLSI","BV BRC","GCA_004568615.1","Escherichia coli","==16",16,"R"
87167,"aztreonam","==","4","S","mg/L","Escherichia coli strain URMC_110","","CLSI","BV BRC","GCA_004569675.1","Escherichia coli","==4",4,"S"
87188,"aztreonam","==","16","R","mg/L","Escherichia coli strain AR_0089","","CLSI","BV BRC","GCA_003571825.1","Escherichia coli","==16",16,"R"
87333,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_55","","CLSI","BV BRC","SRR3996244","Escherichia coli",">64",128,"R"
87351,"aztreonam","==","16","R","mg/L","Escherichia coli strain M15","VITEK 2","CLSI","BV BRC","SRR2544773","Escherichia coli","==16",16,"R"
87398,"aztreonam","==","2","S","mg/L","Escherichia coli strain M30","VITEK 2","CLSI","BV BRC","SRR3345828","Escherichia coli","==2",2,"S"
87408,"aztreonam",">=","64","R","mg/L","Escherichia coli strain M34","VITEK 2","CLSI","BV BRC","SRR3345832","Escherichia coli",">=64",64,"R"
87482,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_80","","CLSI","BV BRC","GCA_004567415.1","Escherichia coli","==16",16,"R"
87661,"aztreonam","==","16","R","mg/L","Escherichia coli strain M8","VITEK 2","CLSI","BV BRC","SRR2449168","Escherichia coli","==16",16,"R"
87807,"aztreonam",">=","64","R","mg/L","Escherichia coli strain URMC_105","","CLSI","BV BRC","GCA_004569165.1","Escherichia coli",">=64",64,"R"
87961,"aztreonam","<=","1","S","mg/L","Escherichia coli strain ENV68","","eucast","BV BRC","ERR2580151","Escherichia coli","<=1",1,"S"
87985,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_14","","CLSI","BV BRC","SRR3982153","Escherichia coli",">64",128,"R"
88001,"aztreonam","==","4","S","mg/L","Escherichia coli strain URMC_37","","CLSI","BV BRC","GCA_004567145.1","Escherichia coli","==4",4,"S"
88003,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_123","","CLSI","BV BRC","SRR4017845","Escherichia coli",">64",128,"R"
88253,"aztreonam","==","2","S","mg/L","Escherichia coli strain URMC_93","","CLSI","BV BRC","GCA_004567345.1","Escherichia coli","==2",2,"S"
88320,"aztreonam",">","32","R","mg/L","Escherichia coli strain MUGSI_250","","CLSI","BV BRC","SRR4017901","Escherichia coli",">32",64,"R"
88324,"aztreonam",">=","64","R","mg/L","Escherichia coli strain URMC_49","","CLSI","BV BRC","GCA_004567565.1","Escherichia coli",">=64",64,"R"
88334,"aztreonam","==","4","S","mg/L","Escherichia coli strain URMC_89","","CLSI","BV BRC","GCA_004566455.1","Escherichia coli","==4",4,"S"
88405,"aztreonam","==","32","R","mg/L","Escherichia coli strain AR_0118","","CLSI","BV BRC","GCA_002055635.1","Escherichia coli","==32",32,"R"
88456,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_25","","CLSI","BV BRC","SRR3982376","Escherichia coli",">64",128,"R"
88479,"aztreonam","<","2","S","mg/L","Escherichia coli strain MUGSI_209","","CLSI","BV BRC","SRR4065708","Escherichia coli","<2",1,"S"
88550,"aztreonam",">","64","R","mg/L","Escherichia coli strain AR_0370","","CLSI","BV BRC","GCA_003000675.1","Escherichia coli",">64",128,"R"
88715,"aztreonam",">=","64","R","mg/L","Escherichia coli strain URMC_1","","CLSI","BV BRC","GCA_000768405.1","Escherichia coli",">=64",64,"R"
88755,"aztreonam","==","16","R","mg/L","Escherichia coli strain M2","VITEK 2","CLSI","BV BRC","SRR2449085","Escherichia coli","==16",16,"R"
88779,"aztreonam","<=","1","S","mg/L","Escherichia coli strain ENV235","","eucast","BV BRC","ERR2580160","Escherichia coli","<=1",1,"S"
88879,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_148","","CLSI","BV BRC","SRR4035120","Escherichia coli",">64",128,"R"
88890,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_16","","CLSI","BV BRC","GCA_004569045.1","Escherichia coli","==16",16,"R"
88938,"aztreonam","==","4","S","mg/L","Escherichia coli strain URMC_10","","CLSI","BV BRC","GCA_004568935.1","Escherichia coli","==4",4,"S"
88944,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_90","","CLSI","BV BRC","GCA_004566415.1","Escherichia coli","==16",16,"R"
88986,"aztreonam",">","64","R","mg/L","Escherichia coli strain AR_0104","","CLSI","BV BRC","GCA_002056635.1","Escherichia coli",">64",128,"R"
89038,"aztreonam",">=","64","R","mg/L","Escherichia coli strain URMC_60","","CLSI","BV BRC","GCA_004566905.1","Escherichia coli",">=64",64,"R"
89132,"aztreonam",">","64","R","mg/L","Escherichia coli strain AR434","","CLSI","BV BRC","GCA_003073955.1","Escherichia coli",">64",128,"R"
89141,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_26","","CLSI","BV BRC","GCA_004681485.1","Escherichia coli","==16",16,"R"
89145,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_96","","CLSI","BV BRC","GCA_004566385.1","Escherichia coli","==16",16,"R"
89220,"aztreonam","<=","1","S","mg/L","Escherichia coli strain ENV388","","eucast","BV BRC","ERR2580165","Escherichia coli","<=1",1,"S"
89255,"aztreonam","==","2","S","mg/L","Escherichia coli strain URMC_25","","CLSI","BV BRC","GCA_004567265.1","Escherichia coli","==2",2,"S"
89460,"aztreonam",">=","16","R","mg/L","Escherichia coli strain MUGSI_280","","CLSI","BV BRC","SRR3982377","Escherichia coli",">=16",16,"R"
89476,"aztreonam","==","4","S","mg/L","Escherichia coli strain URMC_33","","CLSI","BV BRC","GCA_004567725.1","Escherichia coli","==4",4,"S"
89579,"aztreonam",">=","64","R","mg/L","Escherichia coli strain URMC_59","","CLSI","BV BRC","GCA_004566915.1","Escherichia coli",">=64",64,"R"
89666,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_44","","CLSI","BV BRC","SRR3987130","Escherichia coli",">64",128,"R"
89778,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_78","","CLSI","BV BRC","GCA_004566645.1","Escherichia coli","==16",16,"R"
89802,"aztreonam",">=","64","R","mg/L","Escherichia coli strain URMC_70","","CLSI","BV BRC","GCA_004566755.1","Escherichia coli",">=64",64,"R"
89851,"aztreonam","==","64","R","mg/L","Escherichia coli SMG008F9","","EUCAST","BV BRC","GCA_022694405.1","Escherichia coli","==64",64,"R"
89877,"aztreonam","<=","1","S","mg/L","Escherichia coli strain M32","VITEK 2","CLSI","BV BRC","SRR3345830","Escherichia coli","<=1",1,"S"
89895,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_79","","CLSI","BV BRC","GCA_004566595.1","Escherichia coli","==16",16,"R"
90049,"aztreonam","<","2","S","mg/L","Escherichia coli strain MUGSI_247","","CLSI","BV BRC","SRR4017888","Escherichia coli","<2",1,"S"
90064,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_217","","CLSI","BV BRC","SRR4065676","Escherichia coli",">64",128,"R"
90125,"aztreonam","==","4","S","mg/L","Escherichia coli strain URMC_55","","CLSI","BV BRC","GCA_004566985.1","Escherichia coli","==4",4,"S"
90144,"aztreonam","<=","1","S","mg/L","Escherichia coli strain ENV103","","eucast","BV BRC","ERR2580153","Escherichia coli","<=1",1,"S"
90190,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_28","","CLSI","BV BRC","GCA_004567755.1","Escherichia coli","==16",16,"R"
90209,"aztreonam",">","32","R","mg/L","Escherichia coli strain MUGSI_248","","CLSI","BV BRC","SRR4017891","Escherichia coli",">32",64,"R"
90292,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_94","","CLSI","BV BRC","GCA_004566395.1","Escherichia coli","==16",16,"R"
90293,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_95","","CLSI","BV BRC","GCA_004567355.1","Escherichia coli","==16",16,"R"
90404,"aztreonam","<=","1","S","mg/L","Escherichia coli strain ENV737","","eucast","BV BRC","ERR2580172","Escherichia coli","<=1",1,"S"
90440,"aztreonam","==","16","R","mg/L","Escherichia coli strain M21","VITEK 2","CLSI","BV BRC","SRR2927303","Escherichia coli","==16",16,"R"
90633,"aztreonam","<=","1","S","mg/L","Escherichia coli strain ENV190","","eucast","BV BRC","ERR2580154","Escherichia coli","<=1",1,"S"
90662,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_313","","CLSI","BV BRC","SRR4065643","Escherichia coli",">64",128,"R"
90710,"aztreonam",">=","64","R","mg/L","Escherichia coli strain M41","VITEK 2","CLSI","BV BRC","SRR3618633","Escherichia coli",">=64",64,"R"
90751,"aztreonam","==","32","R","mg/L","Escherichia coli strain AR_0433","","CLSI","BV BRC","GCA_003324505.1","Escherichia coli","==32",32,"R"
90762,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_93","","CLSI","BV BRC","SRR4017889","Escherichia coli",">64",128,"R"
91004,"aztreonam",">","64","R","mg/L","Escherichia coli strain AR_0162","","CLSI","BV BRC","GCA_002180135.1","Escherichia coli",">64",128,"R"
91006,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_258","","CLSI","BV BRC","SRR4035122","Escherichia coli",">64",128,"R"
91059,"aztreonam",">=","64","R","mg/L","Escherichia coli strain M37","VITEK 2","CLSI","BV BRC","SRR3345825","Escherichia coli",">=64",64,"R"
91187,"aztreonam",">=","16","R","mg/L","Escherichia coli strain MUGSI_273","","CLSI","BV BRC","SRR3982177","Escherichia coli",">=16",16,"R"
91321,"aztreonam","<=","1","S","mg/L","Escherichia coli strain URMC_109","","CLSI","BV BRC","GCA_004569855.1","Escherichia coli","<=1",1,"S"
91508,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_84","","CLSI","BV BRC","GCA_004566545.1","Escherichia coli","==16",16,"R"
91537,"aztreonam","==","16","R","mg/L","Escherichia coli strain M36","VITEK 2","CLSI","BV BRC","SRR3345834","Escherichia coli","==16",16,"R"
91674,"aztreonam","==","32","R","mg/L","Escherichia coli strain M5","VITEK 2","CLSI","BV BRC","SRR2449141","Escherichia coli","==32",32,"R"
91700,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_23","","CLSI","BV BRC","GCA_004568205.1","Escherichia coli","==16",16,"R"
91743,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_151","","CLSI","BV BRC","SRR4065706","Escherichia coli",">64",128,"R"
91754,"aztreonam",">","64","R","mg/L","Escherichia coli strain AR_451","","CLSI","BV BRC","GCA_003288455.1","Escherichia coli",">64",128,"R"
91766,"aztreonam","<=","2","S","mg/L","Escherichia coli strain FDA-CDC-AR_0084","","CLSI","BV BRC","SRR3242018","Escherichia coli","<=2",2,"S"
